¼ø¼­,ÀÌ¸§,ÆÀ,°æ±â ¼ö,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,ÃÑ ·çÅ¸,Å¸Á¡,µµ·ç,µµ·ç½ÇÆÐ,º¼³Ý,»ç±¸,°íÀÇ»ç±¸,»ïÁø,º´»ì,Èñ»ýÅ¸,Èñ»ýÇÃ¶óÀÌ,Å¸À²,Ãâ·çÀ²,ÀåÅ¸À²,OPS,wOBA,wRC+,WAR,WPA
1,¹éÀÎÃµ,82MLF,72,298,250,55,103,23,1,19,185,64,11,3,42,3,10,17,5,0,3,0.412,0.497,0.74,1.237,0.528,227,5.88,
2,À±µ¿±Õ,82OLF,77,334,284,54,97,20,5,8,151,47,9,2,45,1,2,27,3,0,4,0.342,0.428,0.532,0.96,0.43,164.6,4.13,
3,ÀÌ¸¸¼ö,82»ïC,78,322,270,46,78,16,1,13,135,51,6,2,46,4,0,27,13,0,1,0.289,0.399,0.5,0.899,0.405,147.6,4.12,
4,±èºÀ¿¬,82ÇØDH,74,304,269,55,89,14,1,22,171,52,7,2,28,6,3,16,8,0,1,0.331,0.405,0.636,1.04,0.453,180.5,3.68,
5,±è¿ì¿­,82OCF,62,255,210,43,65,8,0,13,112,41,14,4,38,6,6,25,0,0,1,0.31,0.428,0.533,0.961,0.426,161.9,3.46,
6,ÀÌÁ¾µµ,82MRF,78,327,287,52,93,15,1,11,143,48,21,3,32,4,2,51,4,0,4,0.324,0.395,0.498,0.893,0.401,145.2,3.4,
7,ÀåÅÂ¼ö,82»ïRF,64,264,214,42,72,15,3,3,102,27,34,14,42,5,0,35,1,2,1,0.336,0.454,0.477,0.931,0.427,161.6,3.25,
8,±èÀÏ±Ç,82ÇØCF,75,330,282,48,76,12,1,11,123,36,53,17,42,3,2,18,4,1,2,0.27,0.368,0.436,0.804,0.365,122.6,3.12,
9,±¸Ãµ¼­,82O2B,76,316,266,45,82,11,5,3,112,25,9,5,35,8,0,32,3,7,0,0.308,0.405,0.421,0.826,0.377,130.3,2.96,
10,±èÁØÈ¯,82ÇØRF,80,331,306,50,92,13,3,19,168,45,10,5,19,3,1,23,4,2,1,0.301,0.347,0.549,0.896,0.392,140.6,2.94,
11,±è¿ëÃ¶,82·Ô3B,71,300,253,39,76,13,0,10,119,39,6,7,41,4,2,30,6,0,2,0.3,0.403,0.47,0.874,0.397,142.5,2.93,
12,±Ý±¤¿Á,82»ïC,77,306,263,38,71,12,3,9,116,37,2,4,39,1,1,30,3,1,2,0.27,0.364,0.441,0.805,0.365,121.5,2.85,
13,Á¶Èï¿î,82»ïSS,79,327,299,43,85,16,4,4,121,35,44,12,24,0,0,28,4,4,0,0.284,0.338,0.405,0.742,0.337,104,2.73,
14,Á¤ÇÐ¼ö,82·ÔSS,76,345,277,47,76,18,1,2,102,25,12,10,53,6,0,26,3,4,5,0.274,0.396,0.368,0.764,0.359,117.8,2.73,
15,¿À´ë¼®,82»ïSS,72,307,258,48,73,15,1,4,102,30,14,1,37,3,1,33,3,4,4,0.283,0.374,0.395,0.77,0.351,113,2.72,
16,ÀÌ±¤Àº,82M3B,64,271,243,46,76,16,3,5,113,36,17,6,12,7,0,16,6,4,5,0.313,0.356,0.465,0.821,0.365,121.7,2.38,
17,±èÁ¤¼ö,82·Ô1B,79,333,277,51,76,15,2,11,128,49,15,7,49,2,1,30,4,0,5,0.274,0.381,0.462,0.844,0.381,132.3,2.35,
18,±è¼ºÇÑ,82ÇØ1B,80,340,318,48,97,17,4,13,161,69,10,5,9,8,0,55,7,0,5,0.305,0.335,0.506,0.842,0.374,128.2,2.23,
19,Çã±Ô¿Á,82»ïLF,66,242,206,41,60,11,2,3,84,22,27,3,32,1,1,27,3,3,0,0.291,0.389,0.408,0.797,0.366,122.7,2.12,
20,½Å°æ½Ä,82O1B,77,320,293,40,98,21,3,4,137,54,14,8,20,3,8,17,2,1,3,0.334,0.379,0.468,0.847,0.376,129.4,2.11,
21,±è¿ëÈñ,82·Ô3B,63,263,232,33,66,7,0,11,106,38,4,1,25,3,2,19,12,0,3,0.284,0.357,0.457,0.814,0.366,122.6,2.1,
22,Â÷¿µÈ­,82ÇØSS,76,323,282,46,73,9,1,1,87,12,32,10,31,3,0,20,3,5,2,0.259,0.337,0.309,0.645,0.305,82.5,1.63,
23,±è¿ë´Þ,82M3B,68,191,168,29,53,10,0,5,78,23,2,3,19,0,1,30,6,2,2,0.315,0.381,0.464,0.845,0.379,130.8,1.61,
24,±èÀÎ½Ä,82M2B,80,355,309,47,80,9,0,3,98,25,35,7,17,18,0,14,7,11,0,0.259,0.334,0.317,0.652,0.303,82.2,1.59,
25,±è¼º°ü,82·ÔLF,76,304,273,38,75,15,1,7,113,40,16,4,18,8,0,26,8,3,2,0.275,0.336,0.414,0.75,0.34,105.9,1.52,
26,±èÈ£ÀÎ,82»ïCF,64,237,215,23,60,16,0,6,94,24,4,2,17,1,0,21,4,2,2,0.279,0.332,0.437,0.769,0.346,109.2,1.5,
27,±èÁ¾¸ð,82ÇØLF,77,286,258,28,75,12,0,10,117,43,7,2,17,3,2,27,7,1,7,0.291,0.333,0.453,0.787,0.349,111.6,1.48,
28,¹Ú¿ë¼º,82·ÔRF,52,198,171,24,49,6,1,11,90,38,0,2,17,4,1,28,7,2,4,0.287,0.357,0.526,0.884,0.384,133.9,1.42,
29,±èÇÑ±Ù,82»ï3B,64,227,193,33,51,13,1,5,81,28,4,3,24,2,0,26,1,6,3,0.264,0.347,0.42,0.767,0.342,107.4,1.4,
30,À¯½Â¾È,82MC,57,166,142,23,36,5,0,9,68,29,2,4,21,0,3,29,2,0,3,0.254,0.343,0.479,0.822,0.359,118.2,1.38,
31,¹ÚÁ¤È¯,82»ï2B,51,136,120,17,36,6,1,5,59,24,2,1,9,5,0,24,4,0,2,0.3,0.368,0.492,0.859,0.386,135.4,1.31,
32,¾ç¼¼Á¾,82O3B,76,336,301,38,81,13,1,7,117,37,12,13,27,2,4,17,5,2,4,0.269,0.329,0.389,0.718,0.324,95.1,1.28,
33,Á¤Çö¹ß,82»ïDH,54,179,146,31,42,9,1,5,68,26,4,2,28,1,0,17,5,3,1,0.288,0.403,0.466,0.869,0.391,138.4,1.21,
