No,Name,Year,G_B,PA,AB,R_B,H_B,2B_B,3B_B,HR_B,TB,RBI,SB,CS,BB_B,HBP_B,IBB_B,SO_B,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR_B,WPA_B,G_P,CG,ShO,GS,W_P,L_P,SV,HLD(HD),IP,R_P,ER,TBF,H_P,2B_P,3B_P,HR_P,BB_P,IBB_P,HBP_P,SO_P,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR_P,WPA_P,Rank,G,W_T,L_T,D,P
1,MBC,1982,952,3061,2686,419,757,124,12,65,1100,381,134,60,268,47,20,316,56,32,27,.282,.354,.410,.764,.346,109.5,19.33,,186,19,8,79,46,33,15,0,708.0,350,276,2994,660,,,52,259,10,47,392,10,27,3.51,3.52,1.30,113.0,112.6,16.09,,3,80,46,34,0,0.575
2,»ï¼º,1982,887,3043,2647,429,705,126,18,57,1038,374,147,42,307,30,2,349,50,36,18,.266,.347,.392,.739,.338,104.3,18.61,,152,23,8,79,53,26,17,0,704.1,257,211,2830,617,,,57,187,6,30,305,3,10,2.70,3.50,1.14,147.1,113.2,21.11,,2,80,54,26,0,0.675
3,OB,1982,930,3098,2745,399,778,137,23,57,1132,362,106,61,247,41,22,254,35,46,18,.283,.349,.412,.762,.343,107.6,17.97,,156,32,4,80,56,24,10,0,725.1,318,258,3020,625,,,41,289,4,33,317,6,14,3.20,3.60,1.26,121.6,108.3,18.28,,1,80,56,24,0,0.700
4,ÇØÅÂ,1982,873,2990,2665,374,696,110,14,84,1086,332,155,52,235,41,12,296,59,28,21,.261,.328,.408,.736,.332,100.6,15.32,,154,24,2,80,38,42,3,0,708.0,388,298,3067,698,,,50,295,5,39,348,8,17,3.79,3.75,1.40,101.7,102.8,11.88,,4,80,38,42,0,0.475
5,·Ôµ¥,1982,863,3062,2628,353,674,112,8,59,979,325,83,53,326,40,8,315,61,41,27,.256,.344,.373,.717,.329,98.7,12.47,,169,26,4,80,33,48,3,0,713.2,385,313,3080,763,,,69,261,29,29,362,11,14,3.95,3.76,1.44,100.6,105.7,13.66,,5,80,31,49,0,0.388
6,»ï¹Ì,1982,867,2954,2653,302,637,117,20,40,914,272,74,43,221,29,3,369,44,33,17,.240,.304,.345,.648,.298,79.0,6.11,,200,7,0,80,15,65,5,0,701.2,574,479,3217,883,,,93,313,11,50,175,7,22,6.14,5.15,1.71,65.5,78.2,-0.16,,6,80,15,65,0,0.188
1,»ï¼º,1987,1321,4218,3731,583,1120,164,29,105,1657,548,101,51,380,40,15,448,88,26,40,.300,.368,.444,.812,.378,135.1,37.97,,233,26,8,108,64,44,30,0,959.0,427,381,4078,926,,,62,416,19,45,360,5,16,3.58,3.94,1.40,99.8,90.6,14.54,,2,108,64,44,0,0.593
2,·Ôµ¥,1987,1327,4155,3625,432,970,161,27,40,1305,400,99,50,390,34,20,330,102,86,20,.268,.343,.360,.703,.329,100.6,20.38,,197,51,12,108,54,49,9,0,975.2,404,364,4097,971,,,40,331,10,34,504,1,19,3.36,3.06,1.33,105.2,115.5,21.66,,3,108,54,49,5,0.523
3,ºù±×·¹,1987,1353,4054,3547,410,972,144,22,48,1304,370,79,85,326,53,11,423,84,104,23,.274,.342,.368,.710,.330,101.6,18.87,,195,51,6,108,47,57,7,0,955.1,454,401,4020,970,,,75,281,7,37,364,9,11,3.78,3.70,1.31,96.9,98.9,16.29,,6,108,47,57,4,0.454
4,ÇØÅÂ,1987,1284,4085,3609,393,910,151,12,71,1298,368,90,44,335,44,19,379,96,68,26,.252,.321,.360,.681,.318,93.0,15.61,,241,26,8,108,55,48,14,0,982.0,401,345,4050,864,,,52,372,11,32,494,3,12,3.16,3.35,1.26,110.3,104.1,21.88,,1,108,55,48,5,0.532
