Name,Year,Team,Salary
이강철,1997,해태,"11,000"
김정수,1997,해태,"9,600"
홍현우,1997,해태,"9,600"
이대진,1997,해태,"9,000"
이호성,1997,해태,"7,000"
송구홍,1997,해태,"5,300"
박재용,1997,해태,"4,800"
최해식,1997,해태,"4,800"
강태원,1997,해태,"4,500"
백인호,1997,해태,"4,500"
최훈재,1997,해태,"4,100"
박재벌,1997,해태,"3,800"
김상진,1997,해태,"3,600"
이경복,1997,해태,"3,600"
김종국,1997,해태,"3,600"
조현,1997,해태,"3,500"
임창용,1997,해태,"3,200"
김태룡,1997,해태,"3,200"
최상덕,1997,해태,"3,000"
장성호,1997,해태,"2,500"
김재덕,1997,해태,"2,300"
안상준,1997,해태,"2,200"
이재만,1997,해태,"2,200"
이병석,1997,해태,"2,200"
김창희,1997,해태,"2,000"
박지영,1997,해태,"2,000"
오철민,1997,해태,"2,000"
장석희,1997,해태,"2,000"
권오성,1997,해태,"2,000"
이호준,1997,해태,"1,800"
최희창,1997,해태,"1,800"
박진철,1997,해태,"1,800"
조남기,1997,해태,"1,800"
김봉영,1997,해태,"1,600"
김형성,1997,해태,"1,500"
노정근,1997,해태,"1,500"
김지영,1997,해태,"1,400"
이동욱,1997,해태,"1,400"
지승준,1997,해태,"1,400"
정영철,1997,해태,"1,200"
류기중,1997,해태,"1,200"
이정훈,1997,해태,"1,200"
이우혁,1997,해태,"1,000"
양준혁,1997,삼성,"12,000"
조계현,1997,삼성,"12,000"
김상엽,1997,삼성,"10,000"
박충식,1997,삼성,"10,000"
류중일,1997,삼성,"8,500"
이순철,1997,삼성,"8,300"
김태한,1997,삼성,"8,000"
김형석,1997,삼성,"8,000"
성준,1997,삼성,"7,300"
박동희,1997,삼성,"6,500"
이승엽,1997,삼성,"6,500"
최창양,1997,삼성,"5,000"
김재걸,1997,삼성,"4,875"
정회열,1997,삼성,"4,400"
양용모,1997,삼성,"4,000"
전병호,1997,삼성,"4,000"
최재호,1997,삼성,"4,000"
이상훈,1997,삼성,"4,000"
신동주,1997,삼성,"3,850"
김한수,1997,삼성,"3,800"
최한경,1997,삼성,"3,735"
김종훈,1997,삼성,"3,500"
김태균,1997,삼성,"3,500"
곽채진,1997,삼성,"3,500"
김인철,1997,삼성,"3,000"
김영진,1997,삼성,"3,000"
최익성,1997,삼성,"3,000"
정경배,1997,삼성,"2,800"
김광현,1997,삼성,"2,300"
김훈,1997,삼성,"2,300"
신성필,1997,삼성,"2,100"
황성관,1997,삼성,"2,000"
하춘동,1997,삼성,"2,000"
이계성,1997,삼성,"2,000"
